source,target
I have went to the store yesterday.,I went to the store yesterday.
She don't like to eat vegetables.,She doesn't like to eat vegetables.
We was very tired after the long trip.,We were very tired after the long trip.
He speak English very good.,He speaks English very well.
I am boring in this class.,I am bored in this class.
They didn't came to the party.,They didn't come to the party.
I have 20 years old.,I am 20 years old.
She is more taller than her sister.,She is taller than her sister.
He goed to school by bus.,He went to school by bus.
I am agree with you.,I agree with you.
She has a lot of informations.,She has a lot of information.
We need to discuss about this problem.,We need to discuss this problem.
I am interesting in learning French.,I am interested in learning French.
He didn't told me the truth.,He didn't tell me the truth.
They are very excitement about the trip.,They are very excited about the trip.
I can to swim very fast.,I can swim very fast.
She plays tennis since five years.,She has been playing tennis for five years.
He is the most tallest boy in the class.,He is the tallest boy in the class.
I want to buy a new cloths.,I want to buy new clothes.
They lives in a big apartment.,They live in a big apartment.
She asked me where do I work.,She asked me where I work.
I am looking forward to meet you.,I am looking forward to meeting you.
He has many luggages.,He has a lot of luggage.
I wish I was taller.,I wish I were taller.
She didn't knew the answer.,She didn't know the answer.
The news are very bad today.,The news is very bad today.
I've been waiting since two hours.,I've been waiting for two hours.
He make me very happy.,He makes me very happy.
I am used to woke up early.,I am used to waking up early.
She explained me the situation.,She explained the situation to me.
We arrived to the airport late.,We arrived at the airport late.
He is a very interested person.,He is a very interesting person.
I need an advice from you.,I need some advice from you.
They were very boring at the museum.,They were very bored at the museum.
She is married with a doctor.,She is married to a doctor.
I have seen him yesterday.,I saw him yesterday.
The police are looking for the thief's.,The police are looking for the thieves.
He works hardly every day.,He works hard every day.
I will call to you tomorrow.,I will call you tomorrow.
She has got a black hairs.,She has got black hair.
I am very boring on Sundays.,I am very bored on Sundays.
He suggested me to try the new restaurant.,He suggested that I try the new restaurant.
We enjoyed to go to the beach.,We enjoyed going to the beach.
She is very good in cooking.,She is very good at cooking.
I was borned in 1995.,I was born in 1995.
They don't have no money.,They don't have any money.
He prefer coffee than tea.,He prefers coffee to tea.
I am depend on my parents.,I depend on my parents.
She look tired today.,She looks tired today.
We discussed about the project.,We discussed the project.
He told to me a secret.,He told me a secret.
I need to take a decision.,I need to make a decision.
She is very differ from her brother.,She is very different from her brother.
He could arrived before noon.,He could have arrived before noon.
I apologize for to be late.,I apologize for being late.
They have been lived here for ten years.,They have been living here for ten years.
She went to buy some breads.,She went to buy some bread.
I am really enjoy my new job.,I really enjoy my new job.
He said me that he was sick.,He told me that he was sick.
She look like her mother very much.,She looks like her mother very much.
I am so much tired.,I am so tired.
We must to finish this today.,We must finish this today.
He don't understand the question.,He doesn't understand the question.
I will give you an important information.,I will give you some important information.
They spend a lot of time to study.,They spend a lot of time studying.
She is more intelligent that her classmates.,She is more intelligent than her classmates.
I look forward to see you again.,I look forward to seeing you again.
He told that he would come.,He said that he would come.
I am having a good time since I arrived.,I have been having a good time since I arrived.
We need more furnitures for the room.,We need more furniture for the room.
She works in a company which produce electronics.,She works in a company which produces electronics.
I should have study harder for the exam.,I should have studied harder for the exam.
He is very interested to learn photography.,He is very interested in learning photography.
They are used to live in cold places.,They are used to living in cold places.
I prefer to go by walk.,I prefer to go on foot.
She doesn't likes spicy food.,She doesn't like spicy food.
