source,target
My son have diarrhea,My son has diarrhea
Summer holiday,Summer Holiday
Diagnosed of being easily impressed,Diagnosed with being easily impressed .
`` 450th times ``,`` 450 times ``
English lesson for Halloween,An English lesson for Halloween
21 . 12 . 2012 * * * I 'm university student .,21 . 12 . 2012 * * * I 'm a university student .
Culture of shames,Culture of shame
Do you know me ?,Do you know me ?
Foreigners baby,Foreign baby
play two roles,playing the two roles
Wish You Happy In Paradise,Wishing You Happiness In Paradise
yesterday I saw weather forecast,Yesterday I saw the weather forecast
I 'll send a massage for my friend . . .,I 'm going to send a message to my friend . . .
Spring vacation is coming shortly !,Spring Vacation is Almost Here !
the very fisrt diary on Lang - 8,My very first diary entry on Lang - 8
typhoon is coming,Typhoon is coming
first experience,First experience
The sounds of the steps,The sounds of ( people 's ) footsteps / Footsteps
3 : 25 a . m . at JST,3 : 25 a . m . JST
An Backpacker,A Backpacker
May it is sunny tommorrow . . .,May it be sunny tomorrow . . .
I am very stressful ~ now .,I am very stressed right now .
Reading Books in a bath,Reading Books in the Bath
Finished one of my works ! !,Finished one of my jobs ! !
Strange Japanes custom ?,Strange Japanese customs ?
Do you take a nap ?,Do you take naps ?
Jpanese energy policy,Japan 's energy policy
I Miss You In Loneliness,I Miss You In Loneliness
I will have strengthened muscle for spring vacation,I will have strengthened muscles for spring vacation
"Tuesday , January42011","Tuesday , January 4 , 2011"
I 'm bad at memories .,I 'm bad at remembering .
What Would You Do When You 're Under Stress ?,What Would You Do If You were Stressed Out ?
Going to translate my blog,I 'm going to translate my blog
I wo n't accept that .,I wo n't accept this .
"It 's the spring drizzle , so I 'll walk to wet through it . . . ?",It 's the Spring drizzle . I do n't mind to get soaked through . . . ?
A thief opened his gyve by a note and killed himself by his shoelace,A thief opened his gyvewitha note and killed himself withhis shoelace
I am in wuhan now,I am in Wuhan now
I like the K - pop,I like K - Pop
A summer cold,summer colds
Plant a young trees,Plant a young tree
English pronounceation,English pronunciation
it was reiny today .,it was rainy today .
Something fun !,Something Funny !
I start English tweet .,I have started an English tweet .
Japanese marrige system,Japanese marriage system
Lack Motivation,Lack of Motivation
It is very bad morning .,It is a very bad morning .
I think everyman have to believe something,I think everyone has to believe something
This is my fitst post in English .,This is my first post in English .
Something to drink in white color,Something white to drink
If I was woman ~,If I were a woman ~
Dood dinner at omiya,Good Dinner at Omiya
A singel house,A single house
The Staff Valued Home Event Than The Work,The Staff who Valued a Home Event over Work
The life after maternity leave,Life after maternity leave
What changes happend ?,What changes happened ?
"DIARY , my bro will enlist into korea military .",My brother will enlist in and enter the Korean military soon .
I took the freeway first time .,I took the freeway for the first time .
How to get driving license successfully ?,How to get a driver 's license successfully ?
Japanese siege feeling,Japanese siege mentality
I have just come back .,I just got back .
Introduction myself,Introducing myself
My Original Accent,My Native Accent
listening nimo,listening nemo
Today 's diary,Today 's Diary
Runnnig,Runnnig
self - introduction,Self - introduction
Lunch Time Trip !,Lunchtime Trips !
A new semster !,A new semester !
Accident : (,Accident
frist diary,My first diary entry .
Eating Local Foods,Eating Local Food
I start Lang - 8 !,I 'm starting Lang - 8 !
Happy Valentines Day,Happy Valentine 's Day
Travel plan going to East coast,Travel plan going to the East coast
hapyy day,Happy day !
Nagano in Japan,"Nagano , Japan"
