source,target
He go to school everyday.,He goes to school every day.
I recieved your letter yesterday.,I received your letter yesterday.
She is more taller than me.,She is taller than me.
They was playing football when it rain.,They were playing football when it rained.
I look forward to hear from you.,I look forward to hearing from you.
How much apples do you want?,How many apples do you want?
Its a beautiful day outside.,It's a beautiful day outside.
I have visited London last year.,I visited London last year.
She don't like playing tennis.,She doesn't like playing tennis.
There is many people in the park.,There are many people in the park.
He said me that he is tired.,He told me that he was tired.
I am totally agree with you.,I totally agree with you.
This is the more interesting book I have read.,This is the most interesting book I have read.
Can you explain me this grammar rule?,Can you explain this grammar rule to me?
I didn't knew the answer.,I didn't know the answer.
We discussed about the problem.,We discussed the problem.
She suggested to go to the cinema.,She suggested going to the cinema.
I am born in 1990.,I was born in 1990.
He has been working here since three years.,He has been working here for three years.
Where you are going?,Where are you going?
