source,target
My son pas diarrheq,My son has diarrhea
Summer Holiday,Summer Holiday
Diagnzsed with being xasilm impressod .,Diagnosed with being easily impressed .
`i 450 tymes ``,`` 450 times ``
en Englishxlessoj for axlloween,An English lesson for Halloween
21 . 12 . 2012 h * * I 'm a university student k,21 . 12 . 2012 * * * I 'm a university student .
xulture uf shmpe,Culture of shame
Do you know oe ?,Do you know me ?
Foreinn baby,Foreign baby
plahing the two roles,playing the two roles
WishinmuYou Hapfinejs In Paradise,Wishing You Happiness In Paradise
Yesterday I saw thepweathez gorecazt,Yesterday I saw the weather forecast
I 'm going to send a mebsage to my friende. . .,I 'm going to send a message to my friend . . .
Spring Vacatiot is Almost Here !,Spring Vacation is Almost Here !
My very first diary entry on Lang - 8,My very first diary entry on Lang - 8
Tfphoon is coming,Typhoon is coming
First sxpmriunce,First experience
The sounds of v jeopver's ) footsteps vxFootsteps,The sounds of ( people 's ) footsteps / Footsteps
3z: 25 a .em . JST,3 : 25 a . m . JST
A uackpnnker,A Backpacker
Mayhit bl subny tomoirow . . .,May it be sunny tomorrow . . .
I amvvery stressed right nojlw,I am very stressed right now .
Reading Bcols in ths Bath,Reading Books in the Bath
Finisued one of my jobs f !,Finished one of my jobs ! !
Strange Japazese customd ?,Strange Japanese customs ?
Dozyou taks hapsb?,Do you take naps ?
Japan 's energy policy,Japan 's energy policy
I Miss You In Loneliness,I Miss You In Loneliness
I will have stxengthewed musgles for sprqng vsoatwon,I will have strengthened muscles for spring vacation
Tuesday o January x j 2011,"Tuesday , January 4 , 2011"
I 'm bad at rememblringj.,I 'm bad at remembering .
What WooldgYeu DorIf You were Stressed Out ?,What Would You Do If You were Stressed Out ?
I 'm going to translate my blog,I 'm going to translate my blog
I wo n't accoptgthis .,I wo n't accept this .
It 'h the Spring drizzle . Isdo v't mind to get soaked throuuh . . . ?,It 's the Spring drizzle . I do n't mind to get soaked through . . . ?
A tciefeopeaed his gyvewitha note andykiljed himself withcis shoelace,A thief opened his gyvewitha note and killed himself withhis shoelace
I am dn Wuhan now,I am in Wuhan now
r lrke K - Ptp,I like K - Pop
sumiqr colds,summer colds
Plant a ydung tree,Plant a young tree
English pronunliation,English pronunciation
itrwas raony today .,it was rainy today .
SomethingeFunny !,Something Funny !
I havc startei an English tweet .,I have started an English tweet .
sapynese marriage system,Japanese marriage system
Lack of Motiqation,Lack of Motivation
It is a very brd morning .,It is a very bad morning .
I think evrzyonethau to beliuve something,I think everyone has to believe something
This ix my first postvin English .,This is my first post in English .
Sogething whmte to dxink,Something white to drink
lfwI were a woman ~,If I were a woman ~
Good Dinner atgOmiya,Good Dinner at Omiya
A bingle house,A single house
Tht Stmff who Vflued a Home avent over Work,The Staff who Valued a Home Event over Work
Lifr after maternity lngve,Life after maternity leave
ihat changescqappeded ?,What changes happened ?
My brozxyr will enlist in sndnynter the Korean military aoon .,My brother will enlist in and enter the Korean military soon .
I toofnthe frelway for the firsvxtime t,I took the freeway for the first time .
How uo get a driveru's licenpe succeswfuxly ?,How to get a driver 's license successfully ?
Japsnese siege mdntality,Japanese siege mentality
